"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT001",4281246.88935381,1447325.27366832,1964508.51372364,1755048.59208034,1470807.68837952,1568534.90859415,1699757.54647559,1584472.43801574
"FT002",1802814.61813211,0,0,0,0,0,0,0
"FT003",1245197.74442708,40961.8530449667,115206.476595741,75536.6259158608,44075.0556304153,65364.9195085753,38817.2077440212,81496.2705636186
"FT004",5079142.68734617,524479.578022351,1647060.84933674,935217.349679575,1169840.2575404,1296816.82062207,1170790.73027301,1407095.44485851
"FT005",11004893.4929194,3833.11406023403,2443.15314007101,4821.49659876597,6159.00499907308,5007.68318680994,2887.44460324518,0
"FT006",3083859.94528246,215894.826776976,372624.503149414,229155.239772859,190997.750653584,261859.702862336,168389.71159916,290159.11162359
"FT007",2565895.91781247,0,1611.09512945407,0,0,382.442005714297,0,574.780700638771
"FT008",44548306.8599836,370797.555252248,842139.64320358,427893.567718328,118643.85205371,496719.708732252,236827.362531136,582163.0827388
"FT009",1283419.12522839,0,0,0,0,0,0,0
"FT010",8446639.14919092,63537.3345159843,159195.733879173,76556.8228231171,17691.0968783466,89057.1230278799,43857.1412369724,112246.447330255
"FT011",15783627.803762,283173.900318419,995691.033606453,379839.413314751,136190.695128637,425975.500330894,259190.276343663,542486.103139296
"FT012",3193943.2593164,7480.02244791078,24090.9344487572,10655.8072428688,6686.71836628311,12305.7387276419,6542.961534388,15105.1044096912
"FT013",11352382.6213542,1046844.6936438,2664591.21723634,2117059.98005324,1396329.55833734,1645036.27305664,1751934.81305138,1794276.54164064
"FT014",1387938.24344199,682123.709206433,1194504.99328124,1176249.99462305,1697146.56864259,1385782.02753907,2212689.59662174,2006149.45847244
"FT015",4229177.08950005,10903.6709862146,55269.0642839379,13010.8261583898,6632.95524441763,19545.5638442148,165038.845921573,79322.3747787696
"FT016",2423673.87174879,20886.4355080337,55228.2140695277,25709.1075720271,15409.2126108158,29113.1124997773,40512.1043438069,50735.6394239052
"FT017",27096838.7415364,88804.7678528218,430391.752151418,141999.621227124,68433.4722690593,165361.477999786,195336.129069618,222697.278944422
"FT018",4190630.61579239,1551.80614271112,19058.4025340802,6395.53246810783,430.433498795348,4282.06737676409,8834.86792386099,9756.06371710055
"FT019",8443675.02148438,44756.0857196236,486147.35624662,165097.244004873,128213.64286055,310977.202975744,255971.724933839,368795.53817393
"FT020",3267114.45161329,6368111.70871096,5980728.62707033,6678420.3543442,6914594.0628831,6966181.87033315,7344092.83608647,7315212.64980043
"FT021",6801065.50449224,50240.3788027042,97476.64211728,60118.3657846412,32086.2274453621,45839.105063627,91081.9813742103,40219.4843402017
"FT022",1393463.34194745,8126.54050828239,10008.269056808,7441.09336212493,1531.49747237874,5465.6663687063,8294.1212909156,682.914999633202
"FT023",21957121.2470192,16964.5614972074,13444.502879902,11731.8858397777,0,6851.14019301289,15964.8859456435,6119.31828511791
"FT024",4887929.49095553,1130.84761148481,2431.3882017825,1755.45019828025,0,0,654.290005287355,0
"FT025",1530355.99370538,7227.67236776132,19473.0374252419,7266.6868046324,3226.94425551781,13915.1011695661,4642.08508986908,8049.29625116366
"FT026",4498895.87602763,69263.1543860426,464259.061452371,150096.307229189,102641.008818653,164860.586267528,248860.792370171,328142.188067262
"FT027",17673330.461268,18208634.1183268,21470683.1000719,31705880.7567114,14221405.5427381,14370058.1076922,18647917.4798439,17142666.5815626
"FT028",5132676.12535454,2409210.2455416,4403928.52795216,2060152.78595053,2859339.11704837,2875688.47897393,2757425.9007402,3321507.48875003
"FT029",8444441.68865515,645550.380701433,3185304.72222439,1276763.90945949,875510.340527008,1440342.93815281,1833613.76558015,2244168.46214885
"FT030",24599229.9136153,516965.525252666,1781333.68802796,238884.907196292,146657.204739864,3787895.64867471,3440136.78749245,1820522.7600789
"FT031",3197666.72637868,22437.6216496784,83006.0386875109,31448.2828357652,17370.4662853981,35403.6597263589,20847.7594199644,31503.6421544757
"FT032",1064255.0878125,1645302.0133545,3648107.57420489,6407518.16595427,5374540.05670955,5777445.52011891,6545537.09758999,6137102.05372618
"FT033",6120941.63338732,442814.061684598,955476.381820711,424633.868336155,348850.811844688,599781.891912504,1414084.2392204,1203269.90481923
"FT034",15658483.7105859,1798018.43940263,6187524.65690427,3285294.81035588,1289700.53417971,2320463.13513223,5647258.79694822,4285335.3570395
"FT035",126471460.260701,1455128.59988891,6783458.3827076,2951032.02915726,1708227.44418917,3505749.46653275,5658457.20105035,6452319.069385
"FT036",23631612.5121961,298978.640896544,1373981.45602734,609458.770355246,317300.831917362,706099.773156456,1231943.98066192,1350517.4496845
"FT037",2703698.43755856,3165562.18660715,1070709.31889498,1442705.06901017,806116.065316977,584352.603160563,10323179.5871423,2071120.00552965
"FT038",32577962.8943507,3678599.95670006,10735228.1230871,3789119.93708262,2015423.44568868,5181271.73374475,6488697.31649992,7017494.8978582
"FT039",868923.920247586,3207557.89036057,4947541.80271578,4049751.53650244,2957943.04942802,2018151.52182616,8945516.13122598,4026123.98418668
"FT040",6444478.10467469,853053.849057752,2779895.8258353,1285788.37067162,624008.909116704,1266147.52250169,1535422.55841604,1683702.7299603
"FT041",2337129.62166667,1971.82804358387,114939.280018431,63855.5574489057,32066.5192796099,72124.2582429875,75702.6819059656,133645.927652245
"FT042",139173.296460692,1304378.61385671,1614387.83369142,2001494.16554508,1376820.82481795,1028333.84869118,2725338.06197918,1412580.62753683
"FT043",3992774.29255938,0,1976.30726101795,0,0,0,0,0
"FT044",2206789.5844922,0,0,0,0,0,0,0
"FT045",7742653.63351346,34998.2533641083,0,0,559574.737702563,8427291.38249998,10150.7516724419,34042.5636155661
"FT046",16657369.8338408,13556763.5516637,542168.048506161,1346915.27935974,737294.806703554,1137099.22734846,1382180.46998773,1375788.68883006
"FT047",9445946.81151979,99929.7884377373,828563.962109296,348723.712973954,188655.509853654,353690.67033805,470115.021401566,570116.761411618
"FT048",2994822.27269804,1462240.44582315,80691.8104705616,202857.946705947,106718.003560746,55887.1805413372,207863.429711598,186181.210950876
"FT049",1484929.80675,323215.833437284,614656.958510975,385114.277851862,330660.235705451,411585.084602197,226771.979316651,365114.699784731
"FT050",28346119.5257034,7009.43383768349,2236152.85314479,2347011.60572924,5725095.2165032,5091515.84344104,7016316.12643028,6791050.05389922
"FT051",8168589.96064418,0,118893.845747411,100077.176995214,318093.097099645,418568.049460277,392142.59369716,670909.147510459
"FT052",5038791.87674633,12589.8775294189,286372.608328833,121155.425996135,64386.5081803284,184624.838575159,360225.238420407,594421.863498634
"FT053",1980538.23819663,81771.1684611627,399853.66855342,197684.264256234,185713.785707004,250854.492552274,236007.767503325,390301.516337948
"FT054",1574265.79748609,153141.494827241,127189.224794412,158952.156530143,63657.0734777993,295266.835412024,80834.8455415411,61960.8841951969
"FT055",2646630.94586664,2276777.99900241,2580451.879425,3283662.71233979,1496443.0246161,4412322.7013452,187885.735583635,47404.8864402983
"FT056",5709694.94466287,0,1438241.58468297,1285762.75359403,1267643.30391783,1259102.51351855,1009294.48039916,1188415.59821084
"FT057",1963713.40237381,328622.491998196,706505.071472534,409446.20078354,475047.662456237,742721.448839646,454246.680098972,550575.867016943
"FT058",3493340.07136719,46070.5197509482,89514.2143466614,83132.4759815609,28639.8234589174,56822.240864316,116613.013828985,139178.752809813
"FT059",2446249.57805742,114252.026253376,92240.7226708032,70035.2202331597,356057.095196368,194026.4142387,150738.300743608,177063.541629218
"FT060",2606464.01828616,22557.4415528505,65423.4114983031,38778.1781721716,33343.3681770706,44084.035906866,65167.53586958,71201.6264992965
"FT061",3361826.48677885,40000.6722191543,225975.555899118,108053.684533083,64289.0254020915,86050.0855460556,177847.973508663,187705.985234259
"FT062",7669462.24623436,14082.2219235263,7510.34643430999,24770.0760766741,0,7380.55532116904,66380.9204299636,189409.537939192
"FT063",1301134.02851206,0,0,878.246378138496,0,0,6461.42180958112,38727.3831570142
"FT064",293130.683894601,358961.725947235,355314.368892808,862206.870837352,9793489.81239185,1729909.9812378,4632715.2317627,2089020.46929442
"FT065",2628641.30391112,15705.3746564438,40789.8956292902,24476.0623312275,11052.1290546526,25185.5925836977,10475.5045862965,30603.4410849074
"FT066",3140048.25169793,86318.2499845503,342993.665178451,222686.805253636,293662.266613566,509524.042461617,295591.528165827,327254.452115178
"FT067",2504181.98621876,422792.684454719,37320.6770203392,27901.0148597917,20411.3264742518,269741.003189786,116736.265224239,68090.0373515775
"FT068",4355904.68896945,0,2818.40202711887,2914.27101454059,0,1842.65217085753,18553.44268545,61014.3198549683
"FT069",3737006.91925915,4157127.44213002,5065474.18214732,6373659.91624581,3108534.43041591,32828329.8977268,1996578.04828331,1413730.79224078
"FT070",4595259.9997925,105402.159463816,208335.311920509,144276.465970246,144780.719519116,172366.444673538,253725.160337402,220096.248825982
"FT071",62620209.6656642,26152510.0918414,32079731.8462498,21906133.2254779,16420250.8296568,18977282.0292857,20173818.6895899,18233773.1331381
"FT072",15707880.286134,5447630.421875,7547142.96875,4931887.99685059,3907018.30841308,4372249.92578683,4950273.02488824,4042304.62547432
"FT073",3590477.0176789,710498.081709656,226718.318316388,234649.611011856,337594.583968572,327826.698550036,798380.461669272,346789.726860745
"FT074",826211.7382592,3294219.19508663,62926.1281914433,68601.4541707236,83268.5255713443,78727.0633217026,72238.6062280582,83240.5719541532
"FT075",3052516.56946113,713944.90620481,13866.3836056688,68482.1699691281,18356.9612175689,35337.1780536656,54379.0899736645,52583.3565815816
"FT076",5919969.32243587,129743.775870558,182125.403805755,196810.263067051,131429.927427299,231334.079269405,88066.0609109212,120830.835047978
"FT077",8283728.06195831,0,6367.44902581613,0,0,3425.45906385959,4350.19359013779,16268.0561842097
"FT078",3512440.6291748,2481626.5589635,1883580.56358838,1411907.17464287,1833645.99405133,1903880.33412514,1518122.89303977,1625142.57920373
"FT079",9864962.70974583,180685.657061917,172078.697657942,242679.439135828,134260.688332155,138272.035159509,137597.85496848,92483.9388624668
"FT080",1978602.24297538,2235500.10212313,4210148.95327907,3739742.92609988,6840625.47864586,9294251.07524493,8835308.7448897,4401471.28137462
"FT081",1904674.2050308,23903.9843782529,4062.78115511018,38820.9075217144,3806.18448307941,10542.1195016378,11870.0527626133,0
"FT082",1970397.363109,70348.3304097841,313095.472043508,141757.853782215,273986.651957159,264334.119139099,114930.871243552,209409.329699456
"FT083",5122739.83579896,7832220.54268801,6747767.45854493,4188274.27904585,1628626.15092189,1905843.63222656,1016570.78874999,1716791.95289193
"FT084",1102483.00510035,1536372.65625,1584717.53669334,901277.858947094,488076.779169325,717104.798705697,568779.234487244,384724.619569521
"FT085",4216417.52164391,135105.710491399,114594.613473851,133362.406820965,26925.2976659309,225612.016499444,93380.0852315698,111619.357423011
"FT086",326316.398314492,320470.574775289,6240511.78754111,7933198.30035682,8063735.60060191,7911601.01668032,7689821.40859031,6613605.28450612
"FT087",4773212.23240898,160170.888756963,150623.798805832,186991.376093076,104692.896761765,111733.455057337,162691.751671579,196000.875759508
"FT088",9732419.88524002,254052.504835994,412182.58962485,507232.476678542,297007.338488895,302473.785339502,174975.434669059,229694.435129977
"FT089",2148216.64127197,55800.8661875221,86057.9739969706,115044.058083457,61413.5760494681,57083.2795662669,41201.0226438619,51163.2505923355
"FT090",1726688.14585447,509.299270838421,1949.97042518653,0,0,1685.83960841375,0,0
"FT091",2114624.40582142,386988.745551118,178402.763812211,83434.0517256695,70985.3112887107,49801.4292117899,87813.007051525,66988.1609955351
"FT092",2441167.32487988,102828.956509202,66387.1314061593,52152.5941449361,67148.9424438142,65526.9073962169,58913.2568881191,81223.8886129983
"FT093",4932476.4865637,1008535.99878624,1249579.32103946,1408476.34087369,926330.121087589,39191478.7452231,1825264.42008056,1287034.94736979
"FT094",3187748.80830981,98787.4830406394,335382.114939103,152847.8876649,265565.323828084,252806.296136811,262822.660044006,320013.797325078
"FT095",3228018.26129297,0,56775.8409457908,61654.6629845217,69141.0230353788,158298.862892491,101838.296311714,134329.5702056
"FT096",1705012.79111819,56497.9022058609,161548.289380261,121250.723562247,68574.701158857,98299.2335080517,86973.1420735762,131880.057803996
"FT097",1970165.57456206,0,0,0,0,0,0,1555.15348300318
"FT098",140436.116981632,2276735.64254298,1653253.47950406,1348004.26958173,1537036.72062285,1334207.97483778,1042208.3689959,1048106.8345334
"FT099",38101173.4671094,4184.65172882096,2194990.10455154,2813874.14455986,3472607.51208314,4881724.77031251,4547148.35538029,5442084.07216798
"FT100",10301351.5562421,0,533281.867017956,601606.010908949,703983.544658388,1430586.37523381,1180254.61005952,1443803.67680553
"FT101",2153112.16821183,0,0,0,0,0,0,0
"FT102",1559846.68756513,117755.144818874,205776.867474615,134148.240715415,73583.5168387755,136751.413352826,119251.070856318,191158.095832608
"FT103",44746.9927270768,763312.199171648,3265905.28710941,7380613.67802961,5641447.14159237,2139632.40031547,5532764.29681961,5593614.67098526
"FT104",901510.337109378,102034.176525005,93042.9545874167,84473.2054076173,82335.9461959809,111830.952563102,160374.458052641,176769.869494057
"FT105",1108545.0725416,3553044.59272361,1047415.59280726,1336063.86189553,1378353.41498255,1484326.84255666,1962797.87578515,1636579.1127769
"FT106",33624989.887539,0,0,4515.78250508962,0,6949206.93778564,0,0
"FT107",2025347.11746092,62825.2518451016,212670.652791024,121684.843003536,157275.371103826,170993.024162997,259822.396273511,298849.01315426
"FT108",9024201.45726562,0,0,0,5020.11229917461,1532691.78758112,3108.89053130757,0
"FT109",33207286.6142498,321771.860704625,96134.9346524295,107184.30651305,103248.671622959,87476.0383556869,255173.945766964,166799.039505813
"FT110",7593374.12911056,42999.2678288193,6584.73410097849,9439.31705873919,0,7913.90339810387,21038.3583206233,12247.0483854738
"FT111",6329322.95669791,54785.2723311763,45384.7354863058,42259.4203741932,16337.5732813926,31686.0522799682,3833.07890354098,16208.6771058845
"FT112",1350410.98468017,36319.3502609119,18282.5843124647,12547.9886771945,1488.01145540419,4199.69522889127,4739.55682532249,6457.57615434817
"FT113",13832539.3441036,353775.407922955,1512615.21812774,1042136.87152913,1048616.08568935,1469235.99413234,1205368.61135936,1139540.6981128
"FT114",4800164.14872651,126338.079372103,583076.722083222,360398.030336398,366651.969323577,502728.533774713,473390.297040728,551061.10754853
"FT115",6974875.76555398,436.9766946363,5894.32694930096,1323.91373659819,10198.5032087772,45980.3800663758,13238.1563189992,0
"FT116",4910150.17618517,19208351.1027085,393460.979253243,579299.67414726,345947.473017255,1806700.71275906,685186.085169662,638142.136946483
"FT117",522718.826060524,2885738.28059856,138916.869618779,154536.709484447,186531.235951217,348266.901372223,173155.614230869,180352.615378255
"FT118",1194989.7024183,4204768.03479073,82343.7047151742,112854.449687538,61047.9096665976,366776.82163127,137576.735040698,140937.973970908
"FT119",1858872.18986629,0,13594.1486879182,3343.32731660444,7028.99782732297,2235157.23595254,8890.55874879785,6441.22530573362
"FT120",2101491.96600585,23896.4484117399,49880.4343541391,26303.7500015731,24983.5833510742,37960.6774946079,11904.9062437854,25385.400925848
"FT121",440039443.435958,29427393.6614398,29524756.4313283,38175240.3670406,8727335.29550786,36046441.4345208,4925615.52582588,1131793.75041191
"FT122",2909769.82320012,831237.794738785,556195.64821146,723091.112848583,442313.270171898,218672.330817928,288715.306902171,209900.939381749
"FT123",221341.605637753,3950323.35048968,2332633.43217834,2527275.07374782,3548161.58370321,1651005.79913466,3465383.17933908,3544281.76866686
"FT124",4215602.0533827,2523.86422859541,0,4272.68451356748,0,3565.85447969332,3711.10150412596,0
"FT125",116202783.828186,7213424.41498327,7625696.53867193,9667580.09871786,1889188.33350852,8901256.06913019,1339880.272184,268182.601336104
"FT126",3943189.05319333,859.126863735643,0,0,0,0,485.881071518456,1670.66284036593
"FT127",24189683.2061979,0,0,0,0,0,12064.7615121477,0
"FT128",4403391.99879253,47622.8202528223,126095.71457981,70513.2233783369,42678.2908071165,135136.119197389,47933.0095664474,68858.3287384927
"FT129",2467814.13835998,0,0,0,0,0,0,0
"FT130",2550039.56879186,183798.500977984,126427.861086401,181935.192067838,31736.1910712497,216884.797650167,7673.91407523871,0
"FT131",1618045.15650877,434113.936378968,779623.712015561,541874.340637146,470274.562749568,431240.237767794,459108.422205095,497120.587667256
"FT132",1154461.23562498,986.307307269319,6377.72217462817,1265.00025311575,0,0,0,3908.48397508503
"FT133",471539.89609877,956489.533212277,2210217.67877083,2488157.66894171,4124396.80885714,1624387.12956678,6125158.17982895,5436382.24967789
"FT134",2964019.65049675,846231.717122331,2306998.30556251,1476649.75982144,1662829.73453125,2000796.15203125,2080186.76831005,2311637.00859374
"FT135",32608222.7248888,3215137.28950482,3304156.35777114,4164503.07047494,5495351.33504556,15375548.0472321,585197.212844004,186054.070601745
"FT136",7942761.81015622,514125.694774493,770875.8273978,838931.932141154,196682.194354211,1035297.36457987,114996.214507809,21173.6594481721
"FT137",2078389.86679242,2284281.45876756,2300459.03857761,1160288.13466221,2359568.49497954,1504627.71076992,2266442.18703542,2101802.41900937
"FT138",172395.226963332,1641894.34936383,1383057.74137361,999080.833943252,1335635.18469146,1201560.15314438,824838.16091035,904844.708004284
"FT139",7679281.98949214,293015.72990708,313302.40439434,278525.936267375,220078.621874551,442073.130713796,120395.846308744,205117.670835654
"FT140",2980603.03052454,1194.9420503475,0,0,0,0,648.024471962595,0
"FT141",6634804.50584817,1471478.78126052,2540318.18975001,2748357.66190209,3635764.19327893,2848290.27418571,4050996.49735027,4854581.585875
"FT142",4141070.7324114,699.736108403587,0,0,0,764.864728725894,0,0
"FT143",1285197.70834029,18011.2779341495,77761.3828494687,31116.3436372726,7654.2838872322,20033.2480445021,24178.2345339024,33149.0545647216
"FT144",3630207.36837891,698015.421765894,1412670.81511963,1810642.6010646,1204607.18343228,78348.6040000283,850820.109550796,1081129.8340951
"FT145",2137593.67540178,50750.9020637776,62043.4919552936,61391.7511885851,72047.0997534794,51275.1332900131,58558.9059798229,46616.5990249036
"FT146",29632975.0865233,149415.738449826,158081.34212444,158165.776677378,171123.039268876,116254.722317883,138743.436748709,148171.132177137
"FT147",3441590.85903288,170049.439748543,245833.529611933,696188.016129252,615077.943634968,383460.903974033,119106.7570211,238697.56034107
"FT148",1891900.41396011,66205.0639446061,281325.450348244,180437.587236772,204289.200857804,261162.534231405,334892.696984585,433948.727549746
"FT149",8949687.92514647,33746.6787725835,21522.6485756603,16388.1339208176,21475.8866531205,23684.6367122184,9235.17617998136,15611.4960967034
"FT150",2626245.69263713,0,158900.513105933,109248.537971228,45879.9270921781,91966.3724274577,186222.687801992,141079.165120789
"FT151",2348452.70668594,9261657.29415072,2179566.95919323,3202525.32845607,3671997.88181217,4763851.07864632,5489383.6913813,4360886.04081667
"FT152",7019125.37184891,104979.284442144,123955.304480171,122027.001620654,108482.323332256,141883.629441357,106662.805339651,129558.849269
"FT153",4813901.60975231,268294.04273655,1092393.65145503,1121642.04977397,482347.214994648,448010.843806414,470809.650792801,469359.559318669
"FT154",4046149.47119139,56936.5582029836,12221.0209025317,15656.8566334055,8790.61448849016,18621.4686730697,2672.88603632502,10427.3494289244
"FT155",1771506.20873046,15914.9624621971,13823.7591450398,29074.2317590311,4761.04216750914,8101.25494953879,4104.36824268223,0
"FT156",438729.401694176,1669909.1530326,507797.64420657,676303.605267152,710088.069405315,582502.478539144,1034919.53872181,819723.412564904
"FT157",268736.093291113,5740339.80348345,2811028.30910128,2337412.26688071,3231325.93974262,1893646.80080863,1749156.85210039,2021251.88257381
"FT158",10148229.8915235,349287.16966622,1564140.14122753,1287181.74386704,1178245.1873021,1184649.96523238,1409321.54010461,1647087.7736849
"FT159",3462606.04390133,41861.097892808,83768.7406038752,36336.3006927117,72606.525316589,84923.3194571562,125952.321993187,119452.906647616
"FT160",87341965.4182953,109388.568510949,92211.3077453231,29930.5985601821,0,37440.0220543498,15267.6304091792,77054.1956610392
"FT161",33896605.1739587,43467.838735124,42680.425177845,9881.98343667048,0,11460.1705931027,4282.11716002285,27108.4014663869
"FT162",2660909.73779167,78723.5898471696,116789.633011689,159018.195347632,11193.5781711259,136976.727020499,6403.58106649443,0
"FT163",6072977.57588481,732.986429591444,452.258148898892,0,1257.08624264101,0,0,0
"FT164",20817225.1236976,0,4300.45847217407,0,2712.65604745659,0,0,1068.78690980241
"FT165",6604733.96431317,0,724545.029738579,698827.048010859,318341.389303781,327332.37764379,340451.089944843,403569.354461096
"FT166",8462638.72221342,0,0,0,0,0,0,988.45242136998
"FT167",1819385.01169922,0,193861.95940161,204945.684018361,95251.5097161152,82451.0130940692,99805.0253069867,99575.445751904
"FT168",1511199.08180663,0,22601.0418003993,4882.64364550108,9989.64092569831,9322.12590010313,3431.93736567673,6156.8225748981
